SAMPLING_DATE,Time,Test,CHL,Depth,Lab,FieldID
7/23/2001,1140,Chlorophyll-a,6.66,5.4,VT,200142236
7/31/2001,1320,Chlorophyll-a,12.8,5,VT,200141221
8/3/2001,1300,Chlorophyll-a,7.93,5.4,VT,200142262
8/21/2001,1215,Chlorophyll-a,14.44,4,VT,200142286
9/7/2001,1330,Chlorophyll-a,13.96,3.6,VT,200142310
9/18/2001,1345,Chlorophyll-a,9.62,5,VT,200141272
9/19/2001,1245,Chlorophyll-a,9.13,4.6,VT,200142327
10/2/2001,1230,Chlorophyll-a,9.38,6,VT,200142347
10/12/2001,1100,Chlorophyll-a,5.99,6,VT,200141296
5/20/2002,1215,Chlorophyll-a,4.81,6,VT,200242164
6/11/2002,1300,Chlorophyll-a,32.77,,VT,200241111
6/14/2002,1010,Chlorophyll-a,14.11,1.8,VT,200242229
6/20/2002,1415,Chlorophyll-a,10.53,3,VT,200241152
6/28/2002,1155,Chlorophyll-a,2.03,6,VT,200242251
7/12/2002,1015,Chlorophyll-a,7.86,3.8,VT,200242281
7/24/2002,1050,Chlorophyll-a,5.54,6,VT,200241167
7/29/2002,1015,Chlorophyll-a,7.35,4.4,VT,200242303
8/12/2002,1640,Chlorophyll-a,8.78,6,VT,200241189
8/14/2002,1030,Chlorophyll-a,16.66,3.6,VT,200242328
9/4/2002,1230,Chlorophyll-a,26.6,3.6,VT,200242351
9/6/2002,1430,Chlorophyll-a,13.32,3.4,VT,200241218
10/3/2002,1215,Chlorophyll-a,23.92,2.6,VT,200242362
5/9/2003,1300,Chlorophyll-a,11.4,5.2,VT,200342090
5/21/2003,1110,Chlorophyll-a,9.56,4,VT,200342128
5/28/2003,1330,Chlorophyll-a,4.82,6,VT,200341080
6/3/2003,1245,Chlorophyll-a,4.74,6,VT,200342159
6/10/2003,1345,Chlorophyll-a,2.36,6,VT,200341099
6/13/2003,1120,Chlorophyll-a,6.48,5.8,VT,200342174
6/25/2003,1250,Chlorophyll-a,5.04,6,VT,200342196
7/10/2003,1245,Chlorophyll-a,19.2,4.4,VT,200342225
7/25/2003,1155,Chlorophyll-a,6.19,5.8,VT,200342254
7/31/2003,1215,Chlorophyll-a,11.1,5.6,VT,200341143
8/13/2003,1115,Chlorophyll-a,8.87,5,VT,200342282
9/5/2003,1200,Chlorophyll-a,13,2.6,VT,200342305
9/8/2003,1430,Chlorophyll-a,14.5,3.8,VT,200341177
9/26/2003,1445,Chlorophyll-a,11.3,3.4,VT,200341209
5/13/2004,1200,Chlorophyll-a,5.96,6,VT,200442088
6/11/2004,1215,Chlorophyll-a,2,6,VT,200442138
6/17/2004,1230,Chlorophyll-a,2.58,6,VT,200441100
7/19/2004,1240,Chlorophyll-a,6.45,6,VT,200442197
8/6/2004,1445,Chlorophyll-a,9.59,5,VT,200441153
8/10/2004,1120,Chlorophyll-a,13.1,4.6,VT,200442246
9/1/2004,1115,Chlorophyll-a,22.3,2.4,VT,200442314
9/16/2004,1245,Chlorophyll-a,12.2,4,VT,200442354
9/30/2004,1030,Chlorophyll-a,5.14,5.4,VT,200442380
10/19/2004,1220,Chlorophyll-a,7.37,6,VT,200442415
5/20/2005,1230,Chlorophyll-a,5.14,5.2,VT,200542180
6/7/2005,1310,Chlorophyll-a,3.08,6,VT,200542221
6/22/2005,1045,Chlorophyll-a,1.79,4,VT,200542254
6/27/2005,1100,Chlorophyll-a,5.18,6,VT,200541070
7/6/2005,1135,Chlorophyll-a,10.8,4.8,VT,200542272
7/19/2005,1155,Chlorophyll-a,8.2,6,VT,200542295
8/2/2005,1130,Chlorophyll-a,16.6,3.6,VT,200542321
8/17/2005,1250,Chlorophyll-a,9.13,4.8,VT,200542349
8/24/2005,1400,Chlorophyll-a,22.6,3.6,VT,200541157
8/26/2005,1225,Chlorophyll-a,14.4,4,VT,200542373
9/9/2005,1220,Chlorophyll-a,12,3.6,VT,200542409
9/15/2005,1300,Chlorophyll-a,7.35,4.8,VT,200541178
9/19/2005,1100,Chlorophyll-a,14.7,4,VT,200542420
10/12/2005,1130,Chlorophyll-a,11.8,6,VT,200542437
4/27/2006,1300,Chlorophyll-a,8.66,4.4,VT,200642074
5/10/2006,1255,Chlorophyll-a,4.04,6,VT,200642091
6/2/2006,1355,Chlorophyll-a,1.06,5.8,VT,200642157
6/6/2006,1210,Chlorophyll-a,1.36,6,VT,200641112
6/15/2006,1125,Chlorophyll-a,2.43,6,VT,200642191
6/30/2006,1127,Chlorophyll-a,4.82,6,VT,200641157
7/11/2006,1209,Chlorophyll-a,2.61,6,VT,200641167
7/11/2006,1250,Chlorophyll-a,3.53,6,VT,200642235
7/26/2006,1223,Chlorophyll-a,9.68,5,VT,200641205
8/1/2006,1240,Chlorophyll-a,13.4,4.6,VT,200642284
8/8/2006,1145,Chlorophyll-a,13.2,5.4,VT,200641225
8/14/2006,1315,Chlorophyll-a,14.7,4,VT,200642311
8/23/2006,1240,Chlorophyll-a,7.7,5.2,VT,200641258
8/25/2006,1215,Chlorophyll-a,12.2,4.2,VT,200642351
9/5/2006,1200,Chlorophyll-a,12.3,3.6,VT,200641293
9/20/2006,1245,Chlorophyll-a,12.8,5,VT,200642401
9/21/2006,1220,Chlorophyll-a,17.8,3,VT,200641319
10/5/2006,1150,Chlorophyll-a,17.6,3.4,VT,200642420
10/17/2006,1100,Chlorophyll-a,10.9,6,VT,200642429
5/2/2007,1200,Chlorophyll-a,6.65,4,VT,200742143
5/22/2007,1130,Chlorophyll-a,3.85,5,VT,200742176
6/5/2007,1150,Chlorophyll-a,4.23,4,VT,200742194
6/6/2007,1310,Chlorophyll-a,4.85,3.4,VT,200741074
6/19/2007,1210,Chlorophyll-a,1.07,6,VT,200742219
6/25/2007,1355,Chlorophyll-a,7.94,6.5,VT,200741107
7/10/2007,1330,Chlorophyll-a,6.82,6.5,VT,200741152
7/16/2007,1345,Chlorophyll-a,30.7,4,VT,200742248
7/30/2007,1255,Chlorophyll-a,9.33,4.8,VT,200741200
7/30/2007,1210,Chlorophyll-a,11.4,4,VT,200742269
8/9/2007,1245,Chlorophyll-a,2.2,3.5,VT,200741243
8/22/2007,1230,Chlorophyll-a,10.3,5,VT,200742332
9/13/2007,1340,Chlorophyll-a,12.4,4.1,VT,200741303
9/21/2007,1200,Chlorophyll-a,6.25,5,VT,200742368
10/10/2007,1230,Chlorophyll-a,12.7,4,VT,200742385
10/26/2007,1300,Chlorophyll-a,18.5,3,VT,200742409
5/7/2008,1220,Chlorophyll-a,7.15,5.5,VT,200842125
5/21/2008,1215,Chlorophyll-a,7.7,4.5,VT,200842146
6/3/2008,1205,Chlorophyll-a,6.66,5,VT,200842167
6/11/2008,1152,Chlorophyll-a,2.16,6.5,VT,200841506
6/20/2008,1230,Chlorophyll-a,2.32,6,VT,200842194
6/24/2008,1215,Chlorophyll-a,7.82,6.5,VT,200841522
7/7/2008,1215,Chlorophyll-a,4.65,6,VT,200842218
7/11/2008,1036,Chlorophyll-a,4.33,6.5,VT,200841543
7/22/2008,1110,Chlorophyll-a,4.18,6,VT,200841565
7/31/2008,1155,Chlorophyll-a,6.61,6,VT,200842288
8/4/2008,1302,Chlorophyll-a,8.39,5,VT,200841575
8/14/2008,1220,Chlorophyll-a,19.6,3,VT,200842339
8/15/2008,1101,Chlorophyll-a,17.2,3.5,VT,200841603
8/26/2008,1230,Chlorophyll-a,9.15,5,VT,200842358
9/2/2008,1314,Chlorophyll-a,16.8,3.2,VT,200841617
9/11/2008,1150,Chlorophyll-a,19.9,3.5,VT,200842395
9/26/2008,1020,Chlorophyll-a,7.28,6,VT,200842430
10/17/2008,1210,Chlorophyll-a,6.61,5,VT,200842463
4/16/2009,1205,Chlorophyll-a,7.41,4.8,VT,200942085
5/4/2009,1200,Chlorophyll-a,4.07,4.4,VT,200942101
5/19/2009,1245,Chlorophyll-a,5.05,4.2,VT,200942153
6/3/2009,1315,Chlorophyll-a,3.73,6,VT,200942198
6/19/2009,1215,Chlorophyll-a,3.04,6,VT,200942229
7/7/2009,1206,Chlorophyll-a,5.73,6,VT,200941522
7/7/2009,1200,Chlorophyll-a,4.97,6,VT,200942265
7/20/2009,1230,Chlorophyll-a,8.65,5,VT,200942288
7/21/2009,1129,Chlorophyll-a,3.88,6,VT,200941555
8/5/2009,1123,Chlorophyll-a,2.67,6,VT,200941576
8/6/2009,1350,Chlorophyll-a,2.19,6,VT,200942329
8/25/2009,1245,Chlorophyll-a,14,6,VT,200942374
9/4/2009,1225,Chlorophyll-a,5.8,6,VT,200942427
9/23/2009,1230,Chlorophyll-a,8.73,5.2,VT,200942468
10/19/2009,1215,Chlorophyll-a,4.04,6,VT,200942485
4/14/2010,1155,Chlorophyll-a,4.85,5.4,VT,201042112
5/7/2010,1330,Chlorophyll-a,3.86,5.5,VT,201042152
5/19/2010,1145,Chlorophyll-a,1.89,6,VT,201042167
6/7/2010,1253,Chlorophyll-a,2.12,6,VT,201041533
6/11/2010,1255,Chlorophyll-a,2.64,6,VT,201042194
6/21/2010,1110,Chlorophyll-a,4.11,6,VT,201041545
7/1/2010,1215,Chlorophyll-a,3.62,6,VT,201042234
7/7/2010,945,Chlorophyll-a,1.84,6,VT,201041567
7/20/2010,1220,Chlorophyll-a,8.6,6,VT,201042263
7/21/2010,1000,Chlorophyll-a,7.91,6,VT,201041595
8/2/2010,1025,Chlorophyll-a,31.7,3,VT,201042287
8/9/2010,1120,Chlorophyll-a,25.5,3,VT,201041623
8/17/2010,1235,Chlorophyll-a,14.9,4.2,VT,201042325
8/18/2010,1245,Chlorophyll-a,28.6,4,VT,201041642
8/30/2010,1220,Chlorophyll-a,14.5,4.4,VT,201042382
9/9/2010,1120,Chlorophyll-a,7.8,5,VT,201041671
9/27/2010,1140,Chlorophyll-a,6.33,4,VT,201041689
5/13/2011,1130,Chlorophyll-a,9.3,4,VT,201142262
6/7/2011,1055,Chlorophyll-a,4.16,5,VT,201141305
6/14/2011,1250,Chlorophyll-a,1.74,6,VT,201142334
6/16/2011,1021,Chlorophyll-a,3.15,6,VT,201141319
6/30/2011,1240,Chlorophyll-a,2.88,6,VT,201142366
7/8/2011,1120,Chlorophyll-a,8.91,5,VT,201141351
7/15/2011,1220,Chlorophyll-a,4.74,6,VT,201142392
7/22/2011,1207,Chlorophyll-a,5.33,5,VT,201141373
8/5/2011,1115,Chlorophyll-a,21.5,3,VT,201141405
8/9/2011,1220,Chlorophyll-a,39.3,3.2,VT,201142462
8/30/2011,1235,Chlorophyll-a,5.05,5,VT,201141437
9/9/2011,1230,Chlorophyll-a,11,4.2,VT,201142546
9/28/2011,1055,Chlorophyll-a,10.4,5.4,VT,201142573
10/21/2011,1150,Chlorophyll-a,6.67,6,VT,201142634
11/9/2011,1010,Chlorophyll-a,1.68,6,VT,201141626
4/12/2012,1200,Chlorophyll-a,10.47,5,VT,201242083
5/2/2012,1200,Chlorophyll-a,5.7,5.2,VT,201242128
5/16/2012,1313,Chlorophyll-a,5.63,5,VT,201241303
6/6/2012,1231,Chlorophyll-a,2.32,6,VT,201241331
6/7/2012,1025,Chlorophyll-a,2.05,6,VT,201242210
6/26/2012,1230,Chlorophyll-a,3.48,6,VT,201241354
7/2/2012,1210,Chlorophyll-a,4.63,6,VT,201242269
7/11/2012,1200,Chlorophyll-a,3.27,5.6,VT,201241374
7/18/2012,1045,Chlorophyll-a,8.47,5,VT,201242291
7/19/2012,1250,Chlorophyll-a,7.91,3,VT,201241393
8/3/2012,1220,Chlorophyll-a,19.07,3.4,VT,201242350
8/9/2012,1210,Chlorophyll-a,28.53,2,VT,201241425
8/17/2012,1215,Chlorophyll-a,16.1,4,VT,201242371
8/24/2012,1245,Chlorophyll-a,7.23,3.8,VT,201241438
9/6/2012,1210,Chlorophyll-a,7.39,3.8,VT,201242430
9/11/2012,1230,Chlorophyll-a,8.29,5.6,VT,201241459
9/27/2012,1200,Chlorophyll-a,3.29,6,VT,201241481
10/17/2012,1220,Chlorophyll-a,3.51,6,VT,201242477
10/24/2012,1420,Chlorophyll-a,42.15,2.6,VT,201241509
4/30/2013,1245,Chlorophyll-a,4.29,6,VT,201342095
5/28/2013,1220,Chlorophyll-a,1.88,6,VT,201342167
5/30/2013,1130,Chlorophyll-a,6.09,6,VT,201341405
6/14/2013,1135,Chlorophyll-a,1.77,6,VT,201341423
6/19/2013,1210,Chlorophyll-a,3.2,6,VT,201342183
6/25/2013,1225,Chlorophyll-a,1.89,6,VT,201341445
7/11/2013,1250,Chlorophyll-a,9.3,5.5,VT,201341466
7/18/2013,1209,Chlorophyll-a,4.83,6,VT,201341493
7/24/2013,1235,Chlorophyll-a,11.05,6,VT,201342242
8/2/2013,1248,Chlorophyll-a,2,6,VT,201341518
8/20/2013,1110,Chlorophyll-a,16.32,3,VT,201342289
8/29/2013,1200,Chlorophyll-a,22.85,3,VT,201341547
9/17/2013,1234,Chlorophyll-a,11.59,6,VT,201341561
9/27/2013,1134,Chlorophyll-a,18.68,5,VT,201341580
9/27/2013,1205,Chlorophyll-a,27.82,5.6,VT,201342352
10/9/2013,1144,Chlorophyll-a,5.06,6,VT,201341593
5/13/2014,1230,Chlorophyll-a,6.59,4.2,VT,201441406
5/20/2014,1145,Chlorophyll-a,5.44,4,VT,201442160
6/5/2014,1125,Chlorophyll-a,0.99,6,VT,201441425
6/6/2014,1205,Chlorophyll-a,1.14,6,VT,201442184
6/17/2014,1020,Chlorophyll-a,3.05,6,VT,201441441
6/27/2014,1210,Chlorophyll-a,4.17,6,VT,201442212
7/10/2014,1110,Chlorophyll-a,5.63,5.2,VT,201441466
7/17/2014,1100,Chlorophyll-a,4.67,5.6,VT,201441488
7/17/2014,1205,Chlorophyll-a,6.05,6,VT,201442255
8/4/2014,1102,Chlorophyll-a,4.26,6,VT,201441511
8/6/2014,1210,Chlorophyll-a,28.2,2.2,VT,201442316
8/19/2014,1010,Chlorophyll-a,25.38,2.6,VT,201442346
9/8/2014,1205,Chlorophyll-a,19.73,3,VT,201442372
9/9/2014,1115,Chlorophyll-a,13.11,6,VT,201441553
9/18/2014,1349,Chlorophyll-a,10.25,4.8,VT,201441568
10/1/2014,1343,Chlorophyll-a,10.89,4,VT,201441585
10/3/2014,1000,Chlorophyll-a,8.5,4,VT,201442418
10/20/2014,926,Chlorophyll-a,3.97,3,VT,201441605
5/5/2015,1000,Chlorophyll-a,9.21,5.2,VT,201542071
5/29/2015,1055,Chlorophyll-a,4.03,6,VT,201541311
6/4/2015,1230,Chlorophyll-a,6.9,6,VT,201542147
6/9/2015,1244,Chlorophyll-a,6.34,5.4,VT,201541329
6/17/2015,1219,Chlorophyll-a,7.83,3.4,VT,201541344
6/29/2015,1155,Chlorophyll-a,14.07,4.6,VT,201542203
7/2/2015,1200,Chlorophyll-a,9.59,4,VT,201541364
7/13/2015,1150,Chlorophyll-a,9.19,5.2,VT,201542237
7/20/2015,1155,Chlorophyll-a,4.62,6,VT,201541387
7/27/2015,1100,Chlorophyll-a,7.46,6,VT,201542261
8/5/2015,1200,Chlorophyll-a,11.86,4.4,VT,201541414
8/7/2015,1110,Chlorophyll-a,13.02,4,VT,201542291
8/26/2015,1100,Chlorophyll-a,26.63,3.2,VT,201541475
9/1/2015,1135,Chlorophyll-a,24.09,3.4,VT,201542350
9/15/2015,1200,Chlorophyll-a,18.98,2.6,VT,201541494
9/15/2015,1210,Chlorophyll-a,26.96,2.4,VT,201542377
9/23/2015,1200,Chlorophyll-a,10.5,3.2,VT,201541517
10/6/2015,1100,Chlorophyll-a,16.11,5.6,VT,201542421
10/7/2015,1205,Chlorophyll-a,16.14,5,VT,201541531
10/15/2015,1000,Chlorophyll-a,11.48,3.4,VT,201542443
4/29/2016,1105,Chlorophyll-a,3.85,5.8,VT,201642102
5/23/2016,1100,Chlorophyll-a,2.43,6,VT,201641307
6/8/2016,1108,Chlorophyll-a,1.09,6,VT,201641333
6/10/2016,1135,Chlorophyll-a,3.74,5,VT,201642153
6/21/2016,1016,Chlorophyll-a,5.44,4.4,VT,201641357
6/29/2016,1120,Chlorophyll-a,10.17,4.2,VT,201642178
7/8/2016,1048,Chlorophyll-a,1.22,6,VT,201641372
7/19/2016,1120,Chlorophyll-a,6.81,5,VT,201642219
7/26/2016,1040,Chlorophyll-a,8.76,5,VT,201641400
8/1/2016,1111,Chlorophyll-a,4.26,6,VT,201641417
8/2/2016,1050,Chlorophyll-a,5.22,5.6,VT,201642243
8/18/2016,1130,Chlorophyll-a,42.45,2.6,VT,201642287
8/24/2016,1240,Chlorophyll-a,27.9,2.6,VT,201641457
9/9/2016,945,Chlorophyll-a,25.59,3,VT,201642327
9/12/2016,1100,Chlorophyll-a,18.06,5.8,VT,201641473
9/26/2016,1230,Chlorophyll-a,7.03,2.8,VT,201641495
9/28/2016,1135,Chlorophyll-a,13.98,3.8,VT,201642364
10/17/2016,1030,Chlorophyll-a,8.34,5.2,VT,201641513
10/19/2016,1050,Chlorophyll-a,13.81,4.4,VT,201642384
